id,membership,score
72212,1,-0.06374980509281158
21370,0,-0.04258668050169945
52004,1,-0.05904554948210716
29848,0,-0.057081229984760284
45154,0,-0.047116268426179886
93088,1,-0.025882694870233536
75828,0,-0.038465820252895355
100685,1,-0.04787587746977806
21911,1,-0.04027237370610237
37191,1,-0.04530814662575722
67687,1,-0.01817723736166954
21950,0,-0.360871285200119
29683,1,-0.06147370487451553
54524,0,-0.059468213468790054
46962,1,-0.06947270780801773
36584,0,-0.034420859068632126
79566,0,-0.026057854294776917
59743,1,-0.049652595072984695
9629,1,-0.38869744539260864
5280,0,-0.07646778970956802
99953,0,-3.6631133556365967
56155,0,-0.017120076343417168
5893,0,-0.13396495580673218
32738,0,-0.03404635190963745
70311,1,-0.043012816458940506
81063,1,-0.06474597752094269
73528,1,-0.055090028792619705
96799,0,-0.011445692740380764
17328,1,-0.035714369267225266
47325,0,-0.07495535910129547
70096,0,-0.044604163616895676
90757,1,-0.05851365253329277
76645,1,-0.053752221167087555
89646,0,-0.04878921061754227
86544,0,-0.05676906555891037
47539,1,-0.055491022765636444
76970,0,-0.04843083769083023
67010,1,-0.06437584012746811
79279,1,-0.06539729237556458
27188,0,-0.041495099663734436
17418,1,-0.03535357862710953
57405,1,-0.035640403628349304
14428,1,-0.046867866069078445
106584,0,-0.0782700926065445
33754,0,-0.040834199637174606
73436,1,-0.05402003973722458
82589,1,-0.04832009598612785
39402,0,-0.05380012094974518
11707,0,-0.0451187789440155
19463,0,-0.038247499614953995
67633,0,-0.07071758061647415
51102,0,-0.046529971063137054
106764,1,-0.06106781214475632
15477,1,-0.04006887972354889
52231,0,-0.03317907080054283
22500,1,-0.035747725516557693
47916,0,-0.06899183988571167
59233,0,-0.03514586016535759
94817,1,-0.06443876773118973
37126,0,-0.04935852810740471
86563,1,-0.03791321814060211
48725,0,-0.05239588022232056
100214,1,-0.03965993598103523
61025,1,-0.14683930575847626
103747,0,-0.07922492921352386
11355,0,-0.021971266716718674
101324,0,-0.03235304355621338
99378,0,-0.043813541531562805
47011,1,-0.056828759610652924
104513,0,-0.05371573194861412
101804,1,-0.05016779527068138
60636,1,-0.04889899119734764
46898,1,-0.04923870041966438
72531,1,-0.0441301167011261
8592,0,-0.04671395197510719
62940,0,-0.04623657837510109
77739,0,-0.12494233250617981
37805,0,-0.054420217871665955
37947,0,-0.04290592670440674
13426,1,-0.04269234463572502
26042,1,-0.05307665467262268
93142,0,-0.054300881922245026
70359,0,-0.06437841057777405
80950,1,-0.035840775817632675
94914,0,-0.057481877505779266
100861,0,-0.05537474527955055
27142,1,-0.04604089632630348
45080,0,-0.045460913330316544
13226,1,-0.045738477259874344
2672,0,-0.05265863239765167
79554,1,-0.054441895335912704
78161,1,-0.03378408029675484
57347,1,-0.07629162818193436
51320,0,-0.03248333930969238
4265,0,-0.0590856671333313
71410,0,-0.062080103904008865
54114,1,-0.033847350627183914
20535,0,-0.03974895551800728
78857,1,-0.16597798466682434
67227,1,-0.04316045343875885
23827,0,-0.07155725359916687
39593,0,-0.06097080186009407
79820,1,-0.04585656523704529
75296,0,-0.04016244411468506
2098,0,-0.042212363332509995
77399,0,-0.05484664812684059
59153,0,-0.04833031818270683
100113,0,-0.04675991088151932
37184,1,-0.030452214181423187
23866,0,-0.05059853568673134
51700,0,-0.034368108958005905
100324,0,-0.049650438129901886
44891,1,-0.04745897278189659
11454,1,-0.020750457420945168
88226,0,-0.05167762190103531
17977,1,-0.035559989511966705
98213,1,-0.04128224775195122
84599,0,-0.04958714172244072
83623,0,-0.04592340067028999
77457,1,-0.047155048698186874
63736,1,-0.038673195987939835
68968,1,-0.045607734471559525
44273,0,-0.044896095991134644
23675,1,-0.04465147480368614
76452,1,-0.04901568219065666
